Target Frequency (THz),Real Frequency (THz),Real Wavelength (nm),V1 (-V),V2 (-V),V3 (-V),Gain (mA),SOA (mA),Temperature (degC),Peak power (dBm),SMSR (dB),PD1,PD2,PD3
191,0,0,0,0,0,0,0,0,0,0,0,0,0
191.05,0,0,0,0,0,0,0,0,0,0,0,0,0
191.1,0,0,0,0,0,0,0,0,0,0,0,0,0
191.15,0,0,0,0,0,0,0,0,0,0,0,0,0
191.2,0,0,0,0,0,0,0,0,0,0,0,0,0
191.25,0,0,0,0,0,0,0,0,0,0,0,0,0
191.3,0,0,0,0,0,0,0,0,0,0,0,0,0
191.35,0,0,0,0,0,0,0,0,0,0,0,0,0
191.4,0,0,0,0,0,0,0,0,0,0,0,0,0
191.45,0,0,0,0,0,0,0,0,0,0,0,0,0
191.5,0,0,0,0,0,0,0,0,0,0,0,0,0
191.55,0,0,0,0,0,0,0,0,0,0,0,0,0
191.6,0,0,0,0,0,0,0,0,0,0,0,0,0
191.65,0,0,0,0,0,0,0,0,0,0,0,0,0
191.7,0,0,0,0,0,0,0,0,0,0,0,0,0
191.75,0,0,0,0,0,0,0,0,0,0,0,0,0
191.8,0,0,0,0,0,0,0,0,0,0,0,0,0
191.85,0,0,0,0,0,0,0,0,0,0,0,0,0
191.9,0,0,0,0,0,0,0,0,0,0,0,0,0
191.95,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0
192.05,0,0,0,0,0,0,0,0,0,0,0,0,0
192.1,0,0,0,0,0,0,0,0,0,0,0,0,0
192.15,0,0,0,0,0,0,0,0,0,0,0,0,0
192.2,0,0,0,0,0,0,0,0,0,0,0,0,0
192.25,0,0,0,0,0,0,0,0,0,0,0,0,0
192.3,0,0,0,0,0,0,0,0,0,0,0,0,0
192.35,0,0,0,0,0,0,0,0,0,0,0,0,0
192.4,0,0,0,0,0,0,0,0,0,0,0,0,0
192.45,0,0,0,0,0,0,0,0,0,0,0,0,0
192.5,0,0,0,0,0,0,0,0,0,0,0,0,0
192.55,0,0,0,0,0,0,0,0,0,0,0,0,0
192.6,0,0,0,0,0,0,0,0,0,0,0,0,0
192.65,0,0,0,0,0,0,0,0,0,0,0,0,0
192.7,0,0,0,0,0,0,0,0,0,0,0,0,0
192.75,0,0,0,0,0,0,0,0,0,0,0,0,0
192.8,0,0,0,0,0,0,0,0,0,0,0,0,0
192.85,0,0,0,0,0,0,0,0,0,0,0,0,0
192.9,0,0,0,0,0,0,0,0,0,0,0,0,0
192.95,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,0,0
193.05,0,0,0,0,0,0,0,0,0,0,0,0,0
193.1,0,0,0,0,0,0,0,0,0,0,0,0,0
193.15,0,0,0,0,0,0,0,0,0,0,0,0,0
193.2,0,0,0,0,0,0,0,0,0,0,0,0,0
193.25,0,0,0,0,0,0,0,0,0,0,0,0,0
193.3,0,0,0,0,0,0,0,0,0,0,0,0,0
193.35,0,0,0,0,0,0,0,0,0,0,0,0,0
193.4,0,0,0,0,0,0,0,0,0,0,0,0,0
193.45,0,0,0,0,0,0,0,0,0,0,0,0,0
193.5,0,0,0,0,0,0,0,0,0,0,0,0,0
193.55,0,0,0,0,0,0,0,0,0,0,0,0,0
193.6,193.6,1548.52,7,5,5.3,100,200,0,1.4,40,0,0,0
193.65,0,0,0,0,0,0,0,0,0,0,0,0,0
193.7,193.7,1547.71,7,4.9,6.8,90,200,0,2.31,40,0,0,0
193.75,0,0,0,0,0,0,0,0,0,0,0,0,0
193.8,0,0,0,0,0,0,0,0,0,0,0,0,0
193.85,193.85,1546.52,6,4.4,9,100,200,0,5.96,40,0,0,0
193.9,193.9,1546.12,6,3.9,8.9,100,200,0,6.25,40,0,0,0
193.95,193.95,1545.73,6,2.8,8.2,100,200,0,5.64,40,0,0,0
194,194,1545.33,6,4.2,4,100,200,0,6.18,40,0,0,0
194.05,194.05,1544.92,5.8,2.5,8.7,100,200,0,4.04,40,0,0,0
194.1,194.1,1544.53,6,3.3,4.3,100,200,0,4.58,40,0,0,0
194.15,194.15,1544.12,5,2,9.9,100,200,0,6.39,40,0,0,0
194.2,194.2,1543.74,6,1.9,5.7,90,200,0,4.85,40,0,0,0
194.25,194.25,1543.34,7,2,7.5,80,200,0,3.21,40,0,0,0
194.3,194.3,1542.93,6,1.1,7,90,200,0,5.9,40,0,0,0
194.35,194.35,1542.53,5,0.1,6,100,200,0,5.98,40,0,0,0
194.4,194.4,1542.14,5.9,1.9,1.1,80,200,0,5.66,40,0,0,0
194.45,194.45,1541.75,5,0.2,8.3,100,200,0,6.26,40,0,0,0
194.5,194.5,1541.34,5,1.2,0,100,200,0,6.55,40,0,0,0
194.55,194.55,1540.96,5,7.9,6.5,100,200,0,6.62,40,0,0,0
194.6,194.6,1540.56,5,0.1,2.2,100,200,0,6.45,40,0,0,0
194.65,194.65,1540.17,5,0,5,90,200,0,6.51,40,0,0,0
194.7,194.7,1539.78,6,0.1,6.7,80,200,0,5.04,40,0,0,0
194.75,194.75,1539.36,4.8,7.2,1,90,200,0,5.19,40,0,0,0
194.8,194.8,1538.98,5,7.1,1.7,90,200,0,3.48,40,0,0,0
194.85,0,0,0,0,0,0,0,0,0,0,0,0,0
194.9,194.9,1538.18,4,6.7,1.7,100,200,0,6.23,40,0,0,0
194.95,194.95,1537.78,4,6.2,2.8,100,200,0,5.59,40,0,0,0
195,195,1537.41,4,7,5.3,100,200,0,6.48,40,0,0,0
195.05,195.05,1537.01,4,6.9,6.2,100,200,0,6.7,40,0,0,0
195.1,195.1,1536.61,4,6.7,7.2,90,200,0,6.48,40,0,0,0
195.15,0,0,0,0,0,0,0,0,0,0,0,0,0
195.2,195.2,1535.83,3,6.7,7.8,100,200,0,6.7,40,0,0,0
195.25,195.25,1535.44,4.2,6,8.9,90,200,0,5.13,40,0,0,0
195.3,195.3,1535.04,3.9,5.9,1.9,90,200,0,6.47,40,0,0,0
195.35,195.35,1534.64,3,5.5,0.8,100,200,0,6.73,40,0,0,0
195.4,195.4,1534.26,3,5.6,2.8,100,200,0,6.69,40,0,0,0
195.45,195.45,1533.86,4,6.2,6.2,80,200,0,6.45,40,0,0,0
195.5,195.5,1533.46,3,5.1,4.5,100,200,0,6.55,40,0,0,0
195.55,195.55,1533.07,3,5.6,6.1,90,200,0,6.28,40,0,0,0
195.6,195.6,1532.68,3,5.1,7.4,80,200,0,6.45,40,0,0,0
195.65,195.65,1532.3,2,5,6.6,100,200,0,6.51,40,0,0,0
195.7,195.7,1531.91,2,4.7,7.2,100,200,0,6.51,40,0,0,0
195.75,195.75,1531.5,1,4.2,7.4,100,200,0,6.45,40,0,0,0
195.8,195.8,1531.11,2,4.1,0.5,100,200,0,6.67,40,0,0,0
195.85,195.85,1530.72,2,4,2.5,90,200,0,6.4,40,0,0,0
195.9,195.9,1530.33,2,4.2,3.8,80,200,0,6.42,40,0,0,0
195.95,195.95,1529.94,1,3.5,2.2,100,200,0,6.5,40,0,0,0
196,196,1529.55,0,1.8,9.7,90,200,0,5.38,40,0,0,0
